|--------------------|-----------|--------------|--------------|-----------------------|
|     监控时间       | cpu使用率 |  内存使用率  |  磁盘使用率  |       网络使用率      |
|                    |(共2核cpu) | (总计15G内存)|(总计136G硬盘)|                       |
|--------------------|-----------|--------------|--------------|-----------------------|
| 2019-10-28 22:01:15|   25.6%   |     23.5%    |   29.5%      | 收:11903654/发:3982707|
|--------------------|-----------|--------------|--------------|-----------------------|


|--------------------|-----------|--------------|--------------|-----------------------|
|     监控时间       | cpu使用率 |  内存使用率  |  磁盘使用率  |       网络使用率      |
|                    |(共2核cpu) | (总计15G内存)|(总计136G硬盘)|                       |
|--------------------|-----------|--------------|--------------|-----------------------|
| 2019-10-28 22:04:39|   13.0%   |     23.0%    |   29.5%      | 收:11903654/发:3983024|
|--------------------|-----------|--------------|--------------|-----------------------|


|--------------------|-----------|--------------|--------------|-----------------------|
|     监控时间       | cpu使用率 |  内存使用率  |  磁盘使用率  |       网络使用率      |
|                    |(共2核cpu) | (总计15G内存)|(总计136G硬盘)|                       |
|--------------------|-----------|--------------|--------------|-----------------------|
| 2019-10-28 22:04:49|   3.9%   |     22.8%    |   29.5%      | 收:11903654/发:3983024|
|--------------------|-----------|--------------|--------------|-----------------------|


|--------------------|-----------|--------------|--------------|-----------------------|
|     监控时间       | cpu使用率 |  内存使用率  |  磁盘使用率  |       网络使用率      |
|                    |(共2核cpu) | (总计15G内存)|(总计136G硬盘)|                       |
|--------------------|-----------|--------------|--------------|-----------------------|
| 2019-10-28 22:04:59|   7.3%   |     22.9%    |   29.5%      | 收:11903654/发:3983024|
|--------------------|-----------|--------------|--------------|-----------------------|


|--------------------|-----------|--------------|--------------|-----------------------|
|     监控时间       | cpu使用率 |  内存使用率  |  磁盘使用率  |       网络使用率      |
|                    |(共2核cpu) | (总计15G内存)|(总计136G硬盘)|                       |
|--------------------|-----------|--------------|--------------|-----------------------|
| 2019-10-28 22:05:33|   8.7%   |     23.1%    |   29.5%      | 收:11903654/发:3983108|
|--------------------|-----------|--------------|--------------|-----------------------|


|--------------------|-----------|--------------|--------------|-----------------------|
|     监控时间       | cpu使用率 |  内存使用率  |  磁盘使用率  |       网络使用率      |
|                    |(共2核cpu) | (总计15G内存)|(总计136G硬盘)|                       |
|--------------------|-----------|--------------|--------------|-----------------------|
| 2019-10-28 22:05:43|   14.6%   |     23.4%    |   29.5%      | 收:11903654/发:3983108|
|--------------------|-----------|--------------|--------------|-----------------------|


|--------------------|-----------|--------------|--------------|-----------------------|
|     监控时间       | cpu使用率 |  内存使用率  |  磁盘使用率  |       网络使用率      |
|                    |(共2核cpu) | (总计15G内存)|(总计136G硬盘)|                       |
|--------------------|-----------|--------------|--------------|-----------------------|
| 2019-10-28 22:05:53|   4.2%   |     23.0%    |   29.5%      | 收:11903654/发:3983147|
|--------------------|-----------|--------------|--------------|-----------------------|


|--------------------|-----------|--------------|--------------|-----------------------|
|     监控时间       | cpu使用率 |  内存使用率  |  磁盘使用率  |       网络使用率      |
|                    |(共2核cpu) | (总计15G内存)|(总计136G硬盘)|                       |
|--------------------|-----------|--------------|--------------|-----------------------|
| 2019-10-28 22:06:03|   2.7%   |     23.0%    |   29.5%      | 收:11903654/发:3983147|
|--------------------|-----------|--------------|--------------|-----------------------|


|--------------------|-----------|--------------|--------------|-----------------------|
|     监控时间       | cpu使用率 |  内存使用率  |  磁盘使用率  |       网络使用率      |
|                    |(共2核cpu) | (总计15G内存)|(总计136G硬盘)|                       |
